Start Date,Overs,Mdns,Runs,Wkts
05-May-01,89,3,435,11
06-May-01,95.4,9,394,12
09-May-01,91,6,396,11
12-May-01,96.5,9,316,19
16-May-01,94.2,7,316,10
07-Jun-01,97.2,5,420,14
09-Jun-01,95.3,5,503,11
10-Jun-01,99.3,5,525,7
12-Jun-01,100,4,475,15
14-Jun-01,80.4,13,291,17
17-Jun-01,85.1,10,303,13
19-Jun-01,96.3,5,535,17
21-Jun-01,73.3,10,352,11
23-Jun-01,100,4,492,12
23-Jun-01,69,4,302,9
24-Jun-01,68.1,8,260,10
27-Jun-01,99.2,2,463,12
30-Jun-01,93.5,11,325,11
01-Jul-01,99.5,3,495,9
04-Jul-01,98.1,10,458,8
07-Jul-01,100,7,558,14
18-Jul-01,97.5,5,406,16
20-Jul-01,91.1,7,329,16
22-Jul-01,100,4,428,15
25-Jul-01,98.3,4,456,11
26-Jul-01,86.2,5,332,17
28-Jul-01,92.3,7,352,12
31-Jul-01,72,7,315,12
01-Aug-01,95.5,6,391,16
02-Aug-01,95.4,4,510,10
05-Aug-01,97.2,6,455,13
15-Aug-01,99.3,11,498,12
18-Aug-01,95,6,375,14
19-Aug-01,97.1,5,452,10
23-Sep-01,100,1,566,6
29-Sep-01,90.1,5,381,15
30-Sep-01,91,13,364,9
03-Oct-01,95.5,7,406,15
05-Oct-01,98.2,1,547,9
06-Oct-01,86.4,4,385,12
07-Oct-01,97.3,2,518,12
07-Oct-01,83.4,8,314,10
10-Oct-01,94.3,1,478,17
10-Oct-01,95.1,2,417,20
12-Oct-01,48.4,9,178,10
13-Oct-01,93.1,3,439,12
14-Oct-01,91.1,5,449,8
17-Oct-01,96.4,12,415,16
19-Oct-01,94.4,1,514,10
22-Oct-01,95.3,4,488,13
24-Oct-01,100,6,496,7
26-Oct-01,100,5,437,13
26-Oct-01,90.3,4,362,13
27-Oct-01,84.3,5,344,12
28-Oct-01,89.1,5,440,13
30-Oct-01,99.4,3,413,16
31-Oct-01,96.2,5,480,15
02-Nov-01,99.2,3,529,11
04-Nov-01,88,7,345,15
23-Nov-01,91,10,307,11
25-Nov-01,100,1,546,11
26-Nov-01,97.2,5,415,10
08-Dec-01,20,5,77,11
09-Dec-01,97.2,8,335,14
11-Dec-01,93.2,3,441,16
12-Dec-01,97.2,1,471,16
15-Dec-01,93,4,464,10
16-Dec-01,83.2,13,304,11
19-Dec-01,97,5,452,10
11-Jan-02,92,8,368,15
13-Jan-02,97.2,8,377,14
15-Jan-02,100,3,474,14
17-Jan-02,97.2,6,420,15
19-Jan-02,97.4,2,471,15
19-Jan-02,94,4,516,15
20-Jan-02,98.4,5,454,14
22-Jan-02,99.5,10,341,15
22-Jan-02,57.1,5,209,12
22-Jan-02,98.4,1,475,12
24-Jan-02,100,13,477,12
25-Jan-02,84.2,9,434,12
25-Jan-02,94.4,3,431,15
26-Jan-02,95.2,8,398,15
27-Jan-02,95.2,1,395,15
28-Jan-02,68.4,0,414,9
29-Jan-02,99.3,2,489,13
31-Jan-02,100,2,526,12
01-Feb-02,100,5,459,13
03-Feb-02,100,7,519,11
03-Feb-02,99,4,489,19
06-Feb-02,93,3,375,9
08-Feb-02,79.2,7,344,14
13-Feb-02,78.5,5,379,15
14-Feb-02,94.4,7,377,13
15-Feb-02,83.4,7,405,18
16-Feb-02,87.2,8,326,18
17-Feb-02,90.2,5,396,14
20-Feb-02,96.3,3,422,15
23-Feb-02,78,5,365,14
26-Feb-02,98.5,1,433,13
07-Mar-02,99.4,3,545,13
10-Mar-02,93.3,0,550,14
13-Mar-02,92.5,8,376,14
16-Mar-02,98.1,4,478,12
19-Mar-02,92.1,2,547,13
22-Mar-02,94.4,3,423,16
24-Mar-02,96.2,5,397,16
27-Mar-02,100,3,517,14
30-Mar-02,98.1,3,528,16
03-Apr-02,97.5,1,527,8
06-Apr-02,99.1,2,642,9
08-Apr-02,95.5,5,430,18
09-Apr-02,99.1,7,413,17
09-Apr-02,71.3,0,420,16
11-Apr-02,100,4,506,14
12-Apr-02,100,7,449,9
14-Apr-02,100,7,424,16
15-Apr-02,81.3,6,410,10
17-Apr-02,66.5,3,369,13
21-Apr-02,80,9,381,15
24-Apr-02,97.1,3,531,11
27-Apr-02,95.4,3,477,13
29-May-02,88.4,5,366,12
01-Jun-02,47.1,3,242,12
02-Jun-02,86.2,3,438,19
05-Jun-02,49.4,6,167,10
08-Jun-02,99.1,6,494,11
09-Jun-02,90,7,414,10
12-Jun-02,82.5,6,347,11
12-Jun-02,77.2,3,401,12
15-Jun-02,94.3,8,325,15
16-Jun-02,100,6,562,14
19-Jun-02,90,7,401,14
27-Jun-02,100,0,523,14
29-Jun-02,98.5,1,523,9
30-Jun-02,95.2,6,395,14
02-Jul-02,63.2,1,467,12
04-Jul-02,62.3,1,329,5
